tradeTime,price
2011-09-05,20628.0
2011-09-18,27809.0
2011-09-20,23363.0
2011-10-01,25075.0
2011-10-16,17467.0
2011-10-18,34741.0
2011-10-23,23040.0
2011-11-02,22262.0
2011-11-09,15139.0
2011-11-12,14987.0
2011-11-17,29887.0
2011-11-27,19497.0
2011-12-10,14635.0
2011-12-15,17088.0
2011-12-29,32674.0
2012-02-11,20773.0
2012-02-12,23818.0
2012-02-15,19050.0
2012-02-16,15840.0
2012-02-17,13068.0
2012-02-25,17803.0
2012-02-26,13866.0
2012-02-29,25761.0
2012-03-06,53962.0
2012-03-10,22571.0
2012-03-11,15601.0
2012-03-14,26957.0
2012-03-17,14847.0
2012-03-18,24292.0
2012-03-28,14950.0
2012-03-31,14532.0
2012-04-06,23390.0
2012-04-08,19448.0
2012-04-17,18839.0
2012-04-21,18420.0
2012-04-22,17172.0
2012-04-25,14283.0
2012-04-29,22094.5
2012-04-30,19391.0
2012-05-04,22538.0
2012-05-06,14727.0
2012-05-15,16216.0
2012-05-16,14859.0
2012-05-18,33665.0
2012-05-19,15479.0
2012-05-23,16819.0
2012-05-25,37950.0
2012-05-27,19313.0
2012-05-28,20371.0
2012-06-02,18497.0
2012-06-03,15847.0
2012-06-05,19459.0
2012-06-06,21852.0
2012-06-07,38991.0
2012-06-09,11050.0
2012-06-10,18195.0
2012-06-14,14727.0
2012-06-17,21777.0
2012-06-18,39267.0
2012-06-19,24824.0
2012-06-25,27365.0
2012-06-29,31238.0
2012-07-04,35316.0
2012-07-08,16555.0
2012-07-11,21429.0
2012-07-12,13122.0
2012-07-16,33487.0
2012-07-20,21311.0
2012-07-25,25101.0
2012-07-29,20640.5
2012-07-31,24592.0
2012-08-05,21763.0
2012-08-08,15599.0
2012-08-09,31049.5
2012-08-14,28883.0
2012-08-17,26273.0
2012-08-20,21686.0
2012-08-21,39632.0
2012-08-26,34865.0
2012-09-15,20981.0
2012-09-18,17744.0
2012-09-20,49957.0
2012-09-23,28763.0
2012-09-24,26853.0
2012-09-27,16092.5
2012-10-06,34736.5
2012-10-07,19273.0
2012-10-10,20988.0
2012-10-14,26918.0
2012-10-23,23098.0
2012-11-02,24372.0
2012-11-03,22647.0
2012-11-04,14238.0
2012-11-06,33443.0
2012-11-11,24796.0
2012-11-23,19900.5
2012-11-24,19821.0
2012-11-25,37873.0
2012-11-26,29364.0
2012-11-27,23654.0
2012-11-28,39381.0
2012-12-01,21649.0
2012-12-02,16079.0
2012-12-07,32625.0
2012-12-09,17877.0
2012-12-12,29815.0
2012-12-13,17707.0
2012-12-15,18625.0
2012-12-16,29340.0
2012-12-17,19644.0
2012-12-19,22297.0
2012-12-22,28611.0
2012-12-23,27731.5
2012-12-26,37544.0
2012-12-29,28547.0
2012-12-30,20849.5
2012-12-31,28102.0
2013-01-08,32887.0
2013-01-09,40931.0
2013-01-10,31377.5
2013-01-11,43028.0
2013-01-15,37403.0
2013-01-17,26241.0
2013-01-18,35849.0
2013-01-19,21775.0
2013-01-21,33302.0
2013-01-23,28701.0
2013-01-26,47721.0
2013-02-01,32740.0
2013-02-16,28129.5
2013-02-24,20950.0
2013-02-26,39428.0
2013-02-27,36148.0
2013-02-28,32423.0
2013-03-01,21120.0
2013-03-02,34998.0
2013-03-03,30205.0
2013-03-05,35979.0
2013-03-06,26101.0
2013-03-10,31715.333333333332
2013-03-11,38199.0
2013-03-12,33946.0
2013-03-13,43160.0
2013-03-15,36337.0
2013-03-17,22337.0
2013-03-21,20702.0
2013-03-24,20506.0
2013-03-26,19804.0
2013-03-28,42498.0
2013-04-05,21635.0
2013-04-19,29088.0
2013-04-20,28649.0
2013-04-26,19539.0
2013-05-01,20571.0
2013-05-04,37044.0
2013-05-09,34476.0
2013-05-22,20685.0
2013-05-23,29376.0
2013-05-25,37868.0
2013-05-29,38245.0
2013-06-01,20797.0
2013-06-02,23196.0
2013-06-03,23166.0
2013-06-10,35881.0
2013-06-12,27402.0
2013-06-15,42327.0
2013-06-17,22375.0
