Date,Open,High,Low,Close,Adj Close,Volume
2011-01-18,96.309998,96.790001,95.080002,95.800003,86.831001,1565300
2011-01-19,95.629997,95.720001,93.570000,94.339996,85.507683,2039200
2011-01-20,93.540001,94.019997,92.790001,93.510002,84.755379,2253300
2011-01-21,94.419998,94.639999,92.870003,93.339996,84.601273,1872300
2011-01-24,93.120003,94.440002,92.970001,94.370003,85.534874,2037800
2011-01-25,94.029999,94.349998,93.300003,93.989998,85.190437,1418600
2011-01-26,94.129997,94.769997,93.269997,94.309998,85.480507,2180700
2011-01-27,94.410004,94.839996,93.800003,94.360001,85.525826,1862300
2011-01-28,94.519997,94.639999,90.180000,90.480003,82.009048,4654200
2011-01-31,91.000000,91.500000,90.010002,90.320000,81.864059,3088700
2011-02-01,92.750000,93.959999,92.279999,92.690002,84.012154,4049700
2011-02-02,92.070000,92.129997,90.519997,90.800003,82.299133,4172700
2011-02-03,91.940002,92.300003,91.099998,91.459999,82.897316,3933100
2011-02-04,91.599998,91.820000,90.540001,91.739998,83.151100,1986800
2011-02-07,91.839996,92.750000,91.300003,91.459999,82.897316,2144200
2011-02-08,91.379997,92.400002,91.169998,92.050003,83.432076,1652500
2011-02-09,91.709999,92.169998,91.000000,91.599998,83.024223,1762300
2011-02-10,91.309998,94.690002,91.309998,94.440002,85.598312,3024600
2011-02-11,93.870003,95.889999,93.800003,95.419998,86.486572,2038800
2011-02-14,95.029999,95.699997,93.809998,93.989998,85.190437,2822100
2011-02-15,95.010002,96.699997,94.889999,95.980003,86.994133,5403500
2011-02-16,96.370003,97.099998,95.900002,96.839996,87.773605,2249500
2011-02-17,96.389999,97.699997,96.370003,97.470001,88.344650,1513800
2011-02-18,97.860001,98.519997,97.309998,98.320000,89.115059,2434800
2011-02-22,96.050003,96.199997,92.910004,93.290001,84.555977,3847200
2011-02-23,93.099998,93.110001,87.540001,89.250000,80.894211,7028500
2011-02-24,89.349998,90.760002,89.080002,89.809998,81.401787,3940600
2011-02-25,90.570000,90.919998,89.750000,89.879997,81.465225,2600500
2011-02-28,91.010002,91.019997,89.769997,90.019997,81.592110,2299600
2011-03-01,90.570000,90.580002,87.599998,87.879997,79.652504,4843700
2011-03-02,88.010002,88.650002,86.320000,87.320000,79.144897,3989400
2011-03-03,88.330002,90.580002,88.180000,89.790001,81.383652,4555900
2011-03-04,89.870003,90.000000,87.800003,88.690002,80.386673,2747800
2011-03-07,88.879997,89.379997,87.110001,88.260002,79.996918,3360200
2011-03-08,88.269997,90.300003,88.269997,89.949997,81.528702,3590900
2011-03-09,89.529999,91.000000,89.000000,90.779999,82.281006,2630800
2011-03-10,89.720001,91.330002,88.800003,89.949997,81.528702,3273600
2011-03-11,90.080002,91.250000,89.860001,90.709999,82.217522,2942900
2011-03-14,89.720001,89.860001,87.199997,88.629997,80.332237,5338000
2011-03-15,86.019997,89.059998,85.970001,87.790001,79.570900,3925800
2011-03-16,87.360001,87.660004,85.029999,85.279999,77.401688,4906800
2011-03-17,89.790001,90.400002,87.489998,87.889999,79.770569,6607500
2011-03-18,90.099998,90.209999,88.269997,89.279999,81.032158,3956300
2011-03-21,90.370003,90.480003,89.610001,89.860001,81.558601,2140600
2011-03-22,89.669998,89.680000,88.190002,88.290001,80.133644,1950500
2011-03-23,87.830002,89.379997,87.050003,88.959999,80.741722,1950600
2011-03-24,89.279999,90.900002,89.120003,90.790001,82.402679,2527400
2011-03-25,90.870003,91.059998,89.849998,90.279999,81.939789,2311000
2011-03-28,91.089996,93.680000,90.599998,93.019997,84.426674,4364500
2011-03-29,92.930000,93.300003,92.129997,93.040001,84.444817,1753900
2011-03-30,93.309998,94.400002,93.139999,93.750000,85.089241,1639600
2011-03-31,93.209999,94.410004,93.019997,93.550003,84.907715,1613500
2011-04-01,95.000000,96.500000,94.580002,95.000000,86.223755,3424800
2011-04-04,95.010002,95.419998,94.459999,95.120003,86.332680,1309700
2011-04-05,94.690002,95.279999,94.110001,94.190002,85.488594,1436900
2011-04-06,95.160004,95.349998,93.800003,94.589996,85.851624,1620200
2011-04-07,94.260002,94.720001,93.410004,93.910004,85.234467,1475000
2011-04-08,93.849998,94.180000,90.820000,91.160004,82.738510,2919300
2011-04-11,91.300003,92.860001,90.660004,92.529999,83.981941,3345600
2011-04-12,92.169998,94.400002,91.959999,94.080002,85.388741,3368000
2011-04-13,94.589996,94.669998,93.070000,93.430000,84.798798,2108900
2011-04-14,92.940002,93.989998,92.660004,92.940002,84.354050,2148800
2011-04-15,93.010002,93.349998,92.190002,92.580002,84.027313,1976000
2011-04-18,91.339996,92.239998,91.099998,91.959999,83.464577,2293200
2011-04-19,92.510002,92.980003,91.519997,91.849998,83.364754,1678500
2011-04-20,93.000000,94.190002,92.360001,93.230003,84.617264,1901200
2011-04-21,93.720001,94.230003,93.389999,93.940002,85.261673,1816300
