tradeTime,price,livingRoom,drawingRoom,bathRoom,floor
2011-10-13,10518608268.666666,37.0,37.0,37.0,37.0
2011-10-14,97267679205670.33,37.0,37.0,37.0,37.0
2011-10-15,6.770988099482808e+19,2222.2,2222.2,2222.2,2222.2
2011-10-16,2.548025857877265e+38,1388888.875,1388888.875,1388888.875,1388888.875
2011-10-17,7.44504028599221e+18,277.75,277.75,277.75,277.75
2011-10-18,24973.0,1.0,1.0,1.0,1.0
2011-10-19,2.658750606278031e+32,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2011-10-20,4.436268598589048e+23,2222.2,2222.2,2222.2,2222.2
2011-10-21,82224033277132.0,37.0,37.0,37.0,37.0
2011-10-22,116961144303702.33,37.0,37.0,37.0,37.0
2011-10-23,2.9481550917196164e+37,1388888.875,1388888.875,1388888.875,1388888.875
2011-10-24,4.016173705976459e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2011-10-25,67824185672076.336,37.0,37.0,37.0,37.0
2011-10-26,11043418040.666666,37.0,37.0,37.0,37.0
2011-10-27,7.817637230092045e+17,277.75,277.75,277.75,277.75
2011-10-28,77460794177458.33,37.0,37.0,37.0,37.0
2011-10-29,3.951752724986429e+22,2222.2,2222.2,2222.2,2222.2
2011-10-30,3.832380780388119e+24,18518.5,18518.5,18518.5,18518.5
2011-10-31,16290.0,1.0,1.0,1.0,1.0
2011-11-01,87614729076622.67,37.0,37.0,37.0,37.0
2011-11-02,25788.0,1.0,1.0,1.0,1.0
2011-11-03,3.5676666874584486e+19,2222.2,2222.2,2222.2,2222.2
2011-11-04,3.49110361570501e+18,277.75,277.75,277.75,277.75
2011-11-05,5.39356045076968e+18,277.75,277.75,277.75,277.75
2011-11-06,5.697451578653024e+23,2222.2,2222.2,2222.2,2222.2
2011-11-07,1048266237.0,5.5,5.5,5.5,5.5
2011-11-08,15204.0,1.0,1.0,1.0,1.0
2011-11-09,3.75632432328485e+22,2222.2,2222.2,2222.2,2222.2
2011-11-10,83970797508670.0,37.0,37.0,37.0,37.0
2011-11-11,955057628.5,5.5,5.5,5.5,5.5
2011-11-12,80340705077099.67,37.0,37.0,37.0,37.0
2011-11-13,2.7611743175257603e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2011-11-14,1446859907.0,5.5,5.5,5.5,5.5
2011-11-15,1197416002.5,5.5,5.5,5.5,5.5
2011-11-16,2.1384716546806478e+43,12345679.0,12345679.0,12345679.0,12345679.0
2011-11-17,21052.0,1.0,1.0,1.0,1.0
2011-11-18,1462509282.5,5.5,5.5,5.5,5.5
2011-11-19,4.581842008479466e+23,2222.2,2222.2,2222.2,2222.2
2011-11-20,2.5176554265289654e+38,1388888.875,1388888.875,1388888.875,1388888.875
2011-11-21,91077568010309.33,37.0,37.0,37.0,37.0
2011-11-22,1199566171.0,5.5,5.5,5.5,5.5
2011-11-23,5.157783410577878e+18,277.75,277.75,277.75,277.75
2011-11-24,24791.0,1.0,1.0,1.0,1.0
2011-11-25,19146.0,1.0,1.0,1.0,1.0
2011-11-26,14895806514.333334,37.0,37.0,37.0,37.0
2011-11-27,2.1809109824255808e+43,12345679.0,12345679.0,12345679.0,12345679.0
2011-11-28,4.077473710327011e+32,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2011-11-29,2.8952577464399463e+23,2222.2,2222.2,2222.2,2222.2
2011-11-30,2.4735800735481037e+43,12345679.0,12345679.0,12345679.0,12345679.0
2011-12-01,193410122.0,5.5,5.5,5.5,5.5
2011-12-02,37817.0,1.0,1.0,1.0,1.0
2011-12-03,2.130659730210121e+53,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2011-12-04,1.0591461001445891e+71,7407407407407.4,7407407407407.4,7407407407407.4,7407407407407.4
2011-12-05,4.736037165478403e+28,18518.5,18518.5,18518.5,18518.5
2011-12-06,5.1236439985884046e+23,2222.2,2222.2,2222.2,2222.2
2011-12-07,3.079535970376371e+28,18518.5,18518.5,18518.5,18518.5
2011-12-08,1.8395938458375157e+66,793650793650.7858,793650793650.7858,793650793650.7858,793650793650.7858
2011-12-09,1.6883858023186146e+50,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2011-12-10,4.258850240472849e+19,2222.2,2222.2,2222.2,2222.2
2011-12-11,6.010586845471809e+18,277.75,277.75,277.75,277.75
2011-12-12,5.138300373126982e+18,277.75,277.75,277.75,277.75
2011-12-13,100494692075474.33,37.0,37.0,37.0,37.0
2011-12-14,2.455535235417422e+28,18518.5,18518.5,18518.5,18518.5
2011-12-15,27513.0,1.0,1.0,1.0,1.0
2011-12-16,21998.0,1.0,1.0,1.0,1.0
2011-12-17,67527422607244.664,37.0,37.0,37.0,37.0
2011-12-18,3.411034643674371e+28,18518.5,18518.5,18518.5,18518.5
2011-12-19,1.7987510393969018e+53,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2011-12-20,51931036342214.336,37.0,37.0,37.0,37.0
2011-12-21,1.3666548545247679e+23,2222.2,2222.2,2222.2,2222.2
2011-12-23,99400935541838.33,37.0,37.0,37.0,37.0
2011-12-24,4.236693790395069e+28,18518.5,18518.5,18518.5,18518.5
2011-12-25,1122712724.0,5.5,5.5,5.5,5.5
2011-12-26,4.566853094679446e+23,2222.2,2222.2,2222.2,2222.2
2011-12-27,13212.0,1.0,1.0,1.0,1.0
2011-12-28,59367587209358.664,37.0,37.0,37.0,37.0
2011-12-29,1144763914.5,5.5,5.5,5.5,5.5
2011-12-30,6.410553980694458e+18,277.75,277.75,277.75,277.75
2011-12-31,1158866852.0,5.5,5.5,5.5,5.5
2012-01-01,5.956570745495833e+18,277.75,277.75,277.75,277.75
2012-01-02,3.5812410404281443e+23,2222.2,2222.2,2222.2,2222.2
2012-01-03,1.9359134336036803e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-01-04,6.293545005589982e+18,277.75,277.75,277.75,277.75
2012-01-05,5.256072385658284e+18,277.75,277.75,277.75,277.75
2012-01-07,1.7229267401637752e+53,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2012-01-08,5.6464477264823474e+23,2222.2,2222.2,2222.2,2222.2
2012-01-09,4.464647320483303e+23,2222.2,2222.2,2222.2,2222.2
2012-01-10,27000.0,1.0,1.0,1.0,1.0
2012-01-11,4.6834513183902636e+23,2222.2,2222.2,2222.2,2222.2
2012-01-12,5.528381979102123e+28,18518.5,18518.5,18518.5,18518.5
2012-01-13,29036.0,1.0,1.0,1.0,1.0
2012-01-14,4.5930244053476205e+28,18518.5,18518.5,18518.5,18518.5
2012-01-15,3.598846694400006e+23,2222.2,2222.2,2222.2,2222.2
2012-01-16,4.4555654305526323e+18,277.75,277.75,277.75,277.75
2012-01-17,16751.0,1.0,1.0,1.0,1.0
2012-01-18,694064568.0,5.5,5.5,5.5,5.5
2012-01-19,21581.0,1.0,1.0,1.0,1.0
2012-01-29,78047384441489.67,37.0,37.0,37.0,37.0
2012-01-31,1341507107.5,5.5,5.5,5.5,5.5
2012-02-01,59494188076383.336,37.0,37.0,37.0,37.0
2012-02-02,57473961713587.0,37.0,37.0,37.0,37.0
2012-02-03,6.484546760340579e+18,277.75,277.75,277.75,277.75
2012-02-04,5.909322410734381e+18,277.75,277.75,277.75,277.75
2012-02-05,2.1851222452106017e+44,111111111.1,111111111.1,111111111.1,111111111.1
2012-02-06,4.651558022984633e+18,277.75,277.75,277.75,277.75
2012-02-07,14626.0,1.0,1.0,1.0,1.0
2012-02-08,2.8208881803690755e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-02-09,3.0970313053732713e+28,18518.5,18518.5,18518.5,18518.5
