tradeTime,price
'2010-01-01 00:00:00',13699.0
'2010-01-05 00:00:00',10546.0
'2010-01-15 00:00:00',12676.0
'2010-01-16 00:00:00',11711.0
'2010-01-18 00:00:00',12190.0
'2010-01-24 00:00:00',12999.666666666666
'2010-01-27 00:00:00',13306.0
'2010-01-29 00:00:00',10861.0
'2010-01-30 00:00:00',12805.0
'2010-02-02 00:00:00',14051.0
'2010-02-08 00:00:00',11867.333333333334
'2010-02-12 00:00:00',12552.0
'2010-02-20 00:00:00',13862.5
'2010-02-21 00:00:00',13073.0
'2010-02-23 00:00:00',13006.0
'2010-02-24 00:00:00',10837.0
'2010-02-25 00:00:00',13705.0
'2010-02-26 00:00:00',12648.0
'2010-02-27 00:00:00',11081.0
'2010-02-28 00:00:00',11138.0
'2010-03-01 00:00:00',13837.0
'2010-03-02 00:00:00',12465.0
'2010-03-03 00:00:00',12028.0
'2010-03-04 00:00:00',12070.0
'2010-03-05 00:00:00',14418.0
'2010-03-06 00:00:00',13967.0
'2010-03-07 00:00:00',14473.0
'2010-03-08 00:00:00',13186.5
'2010-03-09 00:00:00',11803.0
'2010-03-10 00:00:00',15515.5
'2010-03-11 00:00:00',13839.0
'2010-03-12 00:00:00',12872.0
'2010-03-16 00:00:00',12124.0
'2010-03-17 00:00:00',13525.0
'2010-03-18 00:00:00',14159.0
'2010-03-19 00:00:00',15522.0
'2010-03-21 00:00:00',11949.0
'2010-03-22 00:00:00',13902.0
'2010-03-23 00:00:00',14872.0
'2010-03-24 00:00:00',16875.0
'2010-03-25 00:00:00',11120.0
'2010-03-26 00:00:00',15073.333333333334
'2010-03-28 00:00:00',13014.25
'2010-04-02 00:00:00',16131.0
'2010-04-03 00:00:00',13827.75
'2010-04-04 00:00:00',15744.333333333334
'2010-04-05 00:00:00',14378.0
'2010-04-06 00:00:00',16244.0
'2010-04-09 00:00:00',16263.5
'2010-04-10 00:00:00',16105.666666666666
'2010-04-11 00:00:00',17798.0
'2010-04-14 00:00:00',18064.0
'2010-04-16 00:00:00',16752.5
'2010-04-19 00:00:00',15874.0
'2010-04-24 00:00:00',16414.0
'2010-04-29 00:00:00',12974.0
'2010-05-12 00:00:00',14780.0
'2010-06-20 00:00:00',14839.0
'2010-07-03 00:00:00',13748.0
'2010-07-05 00:00:00',14539.0
'2010-07-11 00:00:00',14857.333333333334
'2010-07-25 00:00:00',15270.0
'2010-07-27 00:00:00',14003.5
'2010-07-31 00:00:00',15127.0
'2010-08-05 00:00:00',14933.0
'2010-08-09 00:00:00',16204.0
'2010-08-10 00:00:00',15333.0
'2010-08-13 00:00:00',15440.0
'2010-08-15 00:00:00',14909.0
'2010-08-17 00:00:00',14802.0
'2010-08-22 00:00:00',13915.0
'2010-08-23 00:00:00',15519.0
'2010-08-26 00:00:00',16340.0
'2010-08-27 00:00:00',15581.0
'2010-08-29 00:00:00',15802.5
'2010-08-30 00:00:00',16446.0
'2010-09-01 00:00:00',16099.5
'2010-09-05 00:00:00',16021.0
'2010-09-06 00:00:00',17671.0
'2010-09-08 00:00:00',18026.0
'2010-09-13 00:00:00',14750.0
'2010-09-14 00:00:00',17815.0
'2010-09-17 00:00:00',16432.0
'2010-09-18 00:00:00',15436.0
'2010-09-19 00:00:00',17611.0
'2010-09-24 00:00:00',16563.0
'2010-09-26 00:00:00',14999.0
'2010-10-03 00:00:00',17155.0
'2010-10-06 00:00:00',12955.0
'2010-10-10 00:00:00',14885.0
'2010-10-12 00:00:00',17594.666666666668
'2010-10-31 00:00:00',18831.0
'2010-11-06 00:00:00',15474.5
'2010-11-07 00:00:00',14957.0
'2010-11-08 00:00:00',20589.0
'2010-11-14 00:00:00',19785.0
'2010-11-15 00:00:00',13111.0
'2010-11-16 00:00:00',18930.0
'2010-11-20 00:00:00',17014.0
'2010-11-25 00:00:00',16971.0
'2010-11-27 00:00:00',14686.0
'2010-12-04 00:00:00',23029.0
'2010-12-05 00:00:00',18057.0
'2010-12-07 00:00:00',17475.5
'2010-12-11 00:00:00',18487.0
'2010-12-12 00:00:00',20873.0
'2010-12-13 00:00:00',19009.0
'2010-12-14 00:00:00',18429.333333333332
'2010-12-15 00:00:00',19830.0
'2010-12-17 00:00:00',17376.0
'2010-12-18 00:00:00',19597.0
'2010-12-19 00:00:00',17370.5
'2010-12-20 00:00:00',18033.0
'2010-12-21 00:00:00',21133.5
'2010-12-22 00:00:00',20735.0
'2010-12-24 00:00:00',21901.0
'2010-12-25 00:00:00',18678.0
'2010-12-26 00:00:00',20814.0
'2010-12-27 00:00:00',22349.0
'2010-12-28 00:00:00',17945.333333333332
'2010-12-29 00:00:00',20152.0
'2011-01-01 00:00:00',22699.0
'2011-01-02 00:00:00',21527.0
'2011-01-03 00:00:00',19410.0
'2011-01-04 00:00:00',44775.5
'2011-01-05 00:00:00',16446.0
'2011-01-08 00:00:00',42620.0
'2011-01-10 00:00:00',20461.5
'2011-01-11 00:00:00',21068.5
'2011-01-14 00:00:00',26641.0
'2011-01-17 00:00:00',19166.0
'2011-01-18 00:00:00',27300.5
'2011-01-20 00:00:00',21005.0
'2011-01-21 00:00:00',38482.0
'2011-01-24 00:00:00',20498.0
'2011-01-26 00:00:00',18110.0
'2011-01-28 00:00:00',20004.0
'2011-01-30 00:00:00',23748.0
'2011-01-31 00:00:00',27178.0
'2011-02-15 00:00:00',22886.0
'2011-02-16 00:00:00',36000.0
'2011-02-18 00:00:00',19896.0
'2011-02-23 00:00:00',17556.0
'2011-02-26 00:00:00',20218.0
'2011-03-01 00:00:00',20418.0
'2011-03-02 00:00:00',19122.0
'2011-03-04 00:00:00',20166.0
'2011-03-07 00:00:00',22327.0
'2011-03-18 00:00:00',32642.0
'2011-03-21 00:00:00',18070.0
'2011-03-25 00:00:00',16772.0
'2011-03-26 00:00:00',21423.0
'2011-03-28 00:00:00',31520.0
'2011-04-06 00:00:00',18613.0
'2011-04-08 00:00:00',20832.0
'2011-04-12 00:00:00',18249.0
'2011-04-13 00:00:00',19925.0
'2011-04-24 00:00:00',18796.0
'2011-04-27 00:00:00',19156.0
'2011-05-07 00:00:00',15325.0
'2011-05-09 00:00:00',14842.0
'2011-05-10 00:00:00',16643.0
'2011-05-14 00:00:00',20570.0
'2011-05-15 00:00:00',29921.5
'2011-05-19 00:00:00',20799.0
'2011-05-22 00:00:00',14569.0
'2011-05-23 00:00:00',19038.5
'2011-05-31 00:00:00',24061.0
'2011-06-01 00:00:00',22999.0
'2011-06-02 00:00:00',28557.0
'2011-06-03 00:00:00',25925.8
'2011-06-04 00:00:00',22848.666666666668
'2011-06-07 00:00:00',18436.0
'2011-06-08 00:00:00',30671.5
'2011-06-09 00:00:00',23099.2
'2011-06-10 00:00:00',22837.8
'2011-06-11 00:00:00',24661.666666666668
'2011-06-12 00:00:00',19151.0
'2011-06-14 00:00:00',27723.666666666668
'2011-06-15 00:00:00',28489.0
'2011-06-16 00:00:00',31804.0
'2011-06-17 00:00:00',17584.25
'2011-06-18 00:00:00',19344.666666666668
'2011-06-19 00:00:00',22905.0
'2011-06-20 00:00:00',28383.75
'2011-06-21 00:00:00',24925.14285714286
'2011-06-22 00:00:00',17108.25
'2011-06-23 00:00:00',25894.85714285714
'2011-06-24 00:00:00',24813.0
'2011-06-25 00:00:00',18978.6
'2011-06-26 00:00:00',22104.833333333332
'2011-06-27 00:00:00',26661.0
'2011-06-28 00:00:00',17653.666666666668
'2011-06-29 00:00:00',17503.666666666668
'2011-06-30 00:00:00',22986.4
'2011-07-01 00:00:00',22061.928571428572
'2011-07-02 00:00:00',26252.5
'2011-07-03 00:00:00',24964.5
'2011-07-04 00:00:00',24006.0
'2011-07-05 00:00:00',23266.777777777777
'2011-07-06 00:00:00',21429.0
'2011-07-07 00:00:00',26067.95238095238
'2011-07-08 00:00:00',26442.74074074074
'2011-07-09 00:00:00',23903.6
'2011-07-10 00:00:00',28572.3125
'2011-07-11 00:00:00',28884.3
'2011-07-12 00:00:00',28693.46153846154
'2011-07-13 00:00:00',24492.8
'2011-07-14 00:00:00',31600.785714285714
'2011-07-15 00:00:00',28491.6
