tradeTime,price
2011-07-18,27177.0
2011-07-28,21647.0
2011-10-16,18748.0
2011-10-17,27288.0
2011-10-27,17396.0
2011-11-20,20628.0
2011-11-24,30000.0
2011-11-29,15614.0
2011-12-08,23599.0
2011-12-18,20047.0
2011-12-28,17967.0
2012-02-09,17944.0
2012-02-10,24753.0
2012-02-12,14285.0
2012-02-15,25711.0
2012-02-18,13098.0
2012-02-25,17707.0
2012-02-29,11858.0
2012-03-03,29550.0
2012-03-04,34711.0
2012-03-05,29306.0
2012-03-16,17038.0
2012-03-18,19459.0
2012-03-24,19070.0
2012-03-25,25399.0
2012-03-29,12212.0
2012-03-30,14190.0
2012-04-12,16935.0
2012-04-14,22701.0
2012-04-20,26222.0
2012-05-01,22446.0
2012-05-04,31902.0
2012-05-11,28011.0
2012-05-13,24031.0
2012-05-16,32207.0
2012-05-18,24118.0
2012-05-20,36688.0
2012-05-30,25742.0
2012-06-09,47054.0
2012-06-11,28517.0
2012-06-12,11437.0
2012-06-25,27243.0
2012-07-01,18470.0
2012-07-07,22143.0
2012-07-09,37034.0
2012-07-15,39147.0
2012-07-16,20274.0
2012-07-17,22253.0
2012-07-19,30278.0
2012-07-21,24126.5
2012-07-22,23683.0
2012-07-27,34812.0
2012-08-05,39740.0
2012-08-09,49935.0
2012-08-11,31392.0
2012-08-19,29698.0
2012-08-22,31749.0
2012-08-25,37307.0
2012-09-03,25337.0
2012-09-16,34104.0
2012-09-21,23003.0
2012-10-11,29617.0
2012-10-20,32108.0
2012-10-21,30292.0
2012-10-22,54330.0
2012-10-27,18625.0
2012-10-30,31933.0
2012-11-11,28567.0
2012-11-30,37890.0
2012-12-22,17768.5
2012-12-23,34914.0
2012-12-24,25687.0
2012-12-31,33036.0
2013-01-09,38589.0
2013-01-10,24560.0
2013-01-20,26977.0
2013-01-23,36970.0
2013-01-27,32411.0
2013-02-01,18354.0
2013-02-03,44584.0
2013-02-20,33487.0
2013-02-24,19600.0
2013-02-28,33274.0
2013-03-02,15352.0
2013-03-03,29607.666666666668
2013-03-05,33974.0
2013-03-06,22694.0
2013-03-07,42389.0
2013-03-16,18355.0
2013-03-17,31368.0
2013-03-18,31359.0
2013-03-21,18641.0
2013-03-23,32137.0
2013-04-11,25728.0
2013-04-13,30325.0
2013-04-22,38478.0
2013-04-23,26314.0
2013-04-30,55756.0
2013-05-05,43118.0
2013-05-08,37778.0
2013-05-12,33589.0
2013-05-15,48921.0
2013-05-24,57248.0
2013-05-28,33058.0
2013-06-01,52240.0
2013-06-05,20321.0
2013-06-21,37151.0
2013-06-27,37900.0
2013-06-28,24781.0
2013-07-07,40493.0
2013-07-16,19400.0
2013-07-18,53631.0
2013-07-20,23594.0
2013-07-27,26734.0
2013-07-29,34962.0
2013-08-04,62788.0
2013-08-17,32620.0
2013-08-22,29264.0
2013-08-23,42226.0
2013-08-24,43945.0
2013-08-25,26736.0
2013-08-30,40212.0
2013-09-02,44037.0
2013-09-08,33249.0
2013-09-10,24239.0
2013-09-16,38809.0
2013-09-22,46161.5
2013-10-13,37928.0
2013-10-17,39200.0
2013-10-27,32989.0
2013-10-31,23968.0
2013-11-03,34651.0
2013-11-16,60812.0
2013-11-22,20276.0
2013-11-26,29553.0
2013-11-28,39070.0
2013-12-08,44360.0
2013-12-10,25403.0
2013-12-11,38438.0
2013-12-23,42731.0
2013-12-30,44463.0
2014-01-15,42179.0
2014-01-18,45709.0
2014-02-09,57252.0
2014-02-12,24899.0
2014-02-15,30058.0
2014-02-20,27212.0
2014-02-22,25398.0
2014-03-02,19730.0
2014-03-03,46834.0
2014-03-06,48911.0
2014-03-12,33236.0
2014-03-28,32741.0
2014-03-29,22364.0
2014-04-06,28547.0
2014-04-08,31592.0
2014-04-15,24435.0
2014-04-22,57833.0
2014-05-07,44798.0
2014-05-19,31983.0
2014-05-26,22247.0
2014-06-15,28251.0
2014-06-16,63160.0
2014-06-17,23564.0
2014-06-20,19747.0
2014-07-11,21670.0
2014-07-12,43898.0
2014-07-24,35579.0
2014-08-02,28359.0
2014-08-10,27667.0
2014-08-11,31456.0
2014-08-25,35391.0
2014-09-12,37459.0
2014-09-29,33056.0
2014-10-03,28466.0
2014-10-07,43873.0
2014-10-09,35926.0
2014-10-14,47656.0
2014-10-16,41202.0
2014-10-18,35112.0
2014-10-21,26470.0
2014-10-26,34273.0
2014-11-04,31887.0
2014-11-05,46140.0
2014-11-10,23327.0
2014-11-15,33241.0
2014-11-16,34723.0
2014-11-18,45962.0
2014-11-22,28381.0
2014-11-23,44402.333333333336
2014-11-26,26623.0
2014-12-02,30558.0
2014-12-06,27805.0
2014-12-07,26765.0
2014-12-08,32421.0
2014-12-14,25957.0
2014-12-22,32448.0
2014-12-24,44389.0
2014-12-25,32079.0
2015-01-13,29232.5
2015-01-15,29743.0
2015-01-16,19218.0
2015-01-18,31305.5
2015-01-25,23913.0
2015-01-28,25177.0
2015-01-29,32864.0
2015-02-01,35459.0
2015-02-03,23636.0
2015-02-05,40591.0
2015-02-07,34411.0
2015-02-08,18203.0
2015-02-09,28818.0
2015-02-14,38477.0
2015-02-15,38048.0
2015-03-03,32158.0
2015-03-04,26992.0
2015-03-05,46452.0
2015-03-06,27194.0
2015-03-07,28367.5
2015-03-08,24701.5
2015-03-11,52601.0
2015-03-12,33064.5
2015-03-14,25537.666666666668
2015-03-15,27876.0
2015-03-19,36116.5
2015-03-21,27173.0
2015-03-22,35642.333333333336
2015-03-24,23559.0
2015-03-27,42398.0
2015-03-29,50814.0
2015-04-04,36269.0
2015-04-06,27024.0
2015-04-07,40199.0
2015-04-09,29114.0
2015-04-11,27541.0
2015-04-12,37237.5
2015-04-13,22641.0
2015-04-14,30282.0
2015-04-15,54960.0
2015-04-17,45425.0
2015-04-18,18794.0
2015-04-19,23896.5
2015-04-20,41926.0
2015-04-26,30153.0
2015-04-27,49351.0
2015-04-28,33061.5
2015-05-03,56071.666666666664
2015-05-04,33862.0
2015-05-07,31727.0
2015-05-08,39021.0
2015-05-17,25035.0
2015-05-18,79728.5
2015-05-20,41273.0
2015-05-22,39691.0
2015-05-27,32826.0
2015-05-29,33738.0
2015-05-30,38033.0
2015-05-31,41914.0
2015-06-01,53700.0
2015-06-02,29806.0
2015-06-04,30469.5
2015-06-06,50294.5
2015-06-07,29482.0
2015-06-14,17156.0
2015-06-15,47465.0
2015-06-17,53022.5
2015-06-21,19955.0
2015-06-23,28007.0
2015-06-25,23564.0
2015-06-28,25375.0
2015-06-29,37797.0
2015-06-30,35072.5
2015-07-04,35395.0
2015-07-05,44404.0
2015-07-07,35102.0
2015-07-09,34854.0
2015-07-11,38266.0
2015-07-14,30644.0
2015-07-16,28182.0
2015-07-21,47635.0
2015-07-25,63126.0
2015-07-27,27107.0
2015-07-29,41831.5
2015-08-01,34397.0
2015-08-03,33979.0
2015-08-05,54568.0
2015-08-06,40353.0
2015-08-08,32997.0
2015-08-09,35261.0
2015-08-13,34978.0
2015-08-15,22573.0
2015-08-16,48821.0
2015-08-19,21711.0
2015-08-22,40175.0
2015-08-26,33546.0
2015-08-28,38592.0
2015-08-30,46400.5
2015-09-02,25763.0
2015-09-04,33316.5
2015-09-09,36577.5
2015-09-11,57457.0
2015-09-12,25706.0
2015-09-14,30147.0
2015-09-17,26183.0
2015-09-19,45240.0
2015-09-20,36354.0
2015-09-21,15840.0
2015-09-22,31368.0
2015-09-26,46090.0
2015-09-30,33206.0
2015-10-01,17998.0
2015-10-02,19830.0
2015-10-03,28115.0
2015-10-04,20997.0
2015-10-06,34723.0
2015-10-07,42085.0
2015-10-09,39693.0
2015-10-11,38771.0
2015-10-14,42211.0
2015-10-18,35059.333333333336
2015-10-19,61516.0
2015-10-20,48115.5
2015-10-22,52157.5
2015-10-26,25670.0
2015-10-27,29597.0
2015-10-28,36641.0
2015-10-31,33511.0
2015-11-01,47390.0
2015-11-03,34994.0
2015-11-04,66431.0
2015-11-05,19255.0
2015-11-07,44196.0
2015-11-08,23472.0
2015-11-11,44826.0
2015-11-14,34526.0
2015-11-15,36012.0
2015-11-18,46314.0
2015-11-20,60176.0
2015-11-22,17526.0
2015-11-24,34399.0
2015-11-25,28500.0
2015-11-28,24543.0
2015-11-29,43762.0
2015-11-30,28349.0
2015-12-01,51583.0
2015-12-02,31753.0
2015-12-04,53074.0
2015-12-05,66129.25
2015-12-06,34935.666666666664
2015-12-07,25005.0
2015-12-08,39367.0
2015-12-10,26451.5
2015-12-11,29028.0
2015-12-12,60218.0
2015-12-13,41111.333333333336
2015-12-17,61859.0
2015-12-18,30682.0
2015-12-19,41567.333333333336
2015-12-20,35639.0
2015-12-21,19584.0
2015-12-23,29075.0
2015-12-26,44266.0
2015-12-28,31973.0
2015-12-29,41553.0
2016-01-01,44160.0
2016-01-02,41919.666666666664
2016-01-03,56174.666666666664
2016-01-06,30821.0
2016-01-08,34540.0
2016-01-10,31889.85714285714
2016-01-11,29285.0
2016-01-12,26328.0
2016-01-14,32718.0
2016-01-16,35368.5
2016-01-17,15369.0
2016-01-18,52313.0
2016-01-19,35880.0
2016-01-23,15538.0
2016-01-24,27821.0
2016-01-25,32834.5
2016-01-26,28353.0
2016-01-27,28047.0
2016-01-30,45568.666666666664
2016-01-31,64522.0
2016-02-14,46199.0
2016-02-20,37321.5
2016-02-21,20641.0
2016-02-22,24204.0
2016-02-23,41124.0
2016-02-24,49460.0
2016-02-25,54516.0
2016-02-26,46044.0
2016-02-27,35199.0
2016-02-28,37504.0
2016-02-29,59982.0
2016-03-01,41272.0
2016-03-02,37018.25
2016-03-03,47180.0
2016-03-04,37109.25
2016-03-05,37571.5
2016-03-06,23969.25
2016-03-07,37577.0
2016-03-09,37700.5
2016-03-11,25967.0
2016-03-13,28434.0
2016-03-14,38649.0
2016-03-16,21632.0
2016-03-17,36790.0
2016-03-22,30883.0
2016-03-23,34427.0
2016-03-26,45100.0
2016-03-30,55984.5
2016-03-31,24046.0
2016-04-01,33926.0
2016-04-03,49323.0
2016-04-04,26733.5
2016-04-05,50501.0
2016-04-07,52381.0
2016-04-10,42024.333333333336
2016-04-11,28942.0
2016-04-14,28651.0
2016-04-17,28959.0
2016-04-19,38899.0
2016-04-20,30719.0
2016-04-23,25378.0
2016-04-24,28740.666666666668
2016-04-25,28914.0
2016-04-28,38316.0
2016-04-29,53693.5
2016-04-30,30921.0
2016-05-05,66459.0
2016-05-07,23521.0
2016-05-08,59435.0
2016-05-13,46203.0
2016-05-17,52390.5
2016-05-20,42445.0
2016-05-23,34519.0
2016-05-27,37287.0
2016-05-28,41449.0
2016-05-29,67832.0
2016-05-30,41016.0
2016-05-31,40731.5
2016-06-01,41632.0
2016-06-02,40726.0
2016-06-04,46843.0
2016-06-06,32348.0
2016-06-08,67133.0
2016-06-17,37153.5
2016-06-18,26456.0
2016-06-19,60480.0
2016-06-21,29152.0
2016-06-24,38738.0
2016-06-25,38006.5
2016-06-26,24976.0
2016-06-27,35565.0
2016-06-29,33721.333333333336
2016-07-07,46999.0
2016-07-08,46641.0
2016-07-10,29924.0
2016-07-11,38648.0
2016-07-12,51146.0
2016-07-13,68133.0
2016-07-14,29045.0
2016-07-15,57241.75
2016-07-19,44937.0
2016-07-20,53230.0
2016-07-21,32087.0
2016-07-22,36871.5
2016-07-25,49324.0
2016-07-26,28401.0
2016-07-27,39760.0
2016-07-28,51368.0
2016-07-29,41182.666666666664
2016-07-31,32866.0
2016-08-01,73870.0
2016-08-03,71224.0
2016-08-05,40548.0
2016-08-07,28060.0
2016-08-08,75469.0
2016-08-09,77838.0
2016-08-10,56105.0
2016-08-11,56825.666666666664
2016-08-12,27897.0
2016-08-14,42492.666666666664
2016-08-15,46991.5
2016-08-16,47134.5
2016-08-17,40872.0
2016-08-18,53832.6
2016-08-19,46113.0
2016-08-20,84155.0
2016-08-21,47500.0
2016-08-22,44291.5
2016-08-24,49392.25
2016-08-25,43308.0
2016-08-26,50313.25
2016-08-27,78605.0
2016-08-28,53649.0
2016-08-29,42091.4
2016-08-30,51326.0
2016-08-31,49290.42857142857
2016-09-01,41344.0
2016-09-03,67115.0
2016-09-04,44813.666666666664
2016-09-05,43575.5
2016-09-06,47556.333333333336
2016-09-07,65490.0
2016-09-08,25170.0
2016-09-09,51119.0
2016-09-10,37904.5
2016-09-11,39079.0
2016-09-12,48304.5
2016-09-13,50683.0
2016-09-14,32901.0
2016-09-16,46780.75
2016-09-17,59685.666666666664
2016-09-18,62626.0
2016-09-19,58522.0
2016-09-20,46267.0
2016-09-21,49148.666666666664
2016-09-22,56346.666666666664
2016-09-23,55584.0
2016-09-24,45186.0
2016-09-25,47242.0
2016-09-26,55137.0
2016-09-27,64384.8
2016-09-28,37795.0
2016-09-29,54493.75
2016-09-30,56058.5
2016-10-04,65362.5
2016-10-07,57242.0
2016-10-10,73456.0
2016-10-11,55784.0
2016-10-12,32073.0
2016-10-18,46260.0
2016-10-24,31911.0
2016-10-25,71065.0
2016-10-26,56068.0
2016-10-28,66376.0
2016-10-31,66029.0
2016-11-01,82895.0
2016-11-06,58294.0
2016-11-09,54704.0
2016-11-13,46699.0
2016-11-14,56977.666666666664
2016-11-15,67682.33333333333
2016-11-16,66796.0
2016-11-18,69582.0
2016-11-20,63655.0
2016-11-21,57817.0
2016-11-23,53482.0
2016-11-25,49824.0
2016-11-26,53640.333333333336
2016-11-28,51120.0
2016-11-29,64325.5
2016-11-30,55607.75
2016-12-01,50640.0
2016-12-02,80892.0
2016-12-04,46455.5
2016-12-05,36284.0
2016-12-07,63145.666666666664
2016-12-10,61005.0
2016-12-11,89015.0
2016-12-12,65540.0
2016-12-13,63497.0
2016-12-16,51614.0
2016-12-17,69737.0
2016-12-18,56909.0
2016-12-19,67060.75
2016-12-20,45571.0
2016-12-21,50639.0
2016-12-23,58874.0
2016-12-25,48424.0
2016-12-26,116924.0
2016-12-27,78798.5
2016-12-28,49993.25
2016-12-29,61423.0
2016-12-30,80874.33333333333
2016-12-31,76838.5
2017-01-02,39257.5
2017-01-04,70423.0
2017-01-05,52462.0
2017-01-06,59441.25
2017-01-07,88455.0
2017-01-08,54145.0
2017-01-09,63681.25
2017-01-12,48056.0
2017-01-14,64862.5
2017-01-15,93084.0
2017-01-16,81534.25
2017-01-18,70163.5
2017-01-19,58100.5
2017-01-20,73050.0
2017-01-22,47134.0
2017-01-23,47847.71428571428
2017-02-04,76970.0
2017-02-07,34455.0
2017-02-08,52333.5
2017-02-09,47644.0
2017-02-10,42000.0
2017-02-11,78053.0
2017-02-12,59876.0
2017-02-13,97039.0
2017-02-14,68976.0
2017-02-15,60773.666666666664
2017-02-16,46704.0
2017-02-18,66201.25
2017-02-19,64562.0
2017-02-20,32577.0
2017-02-21,70745.0
2017-02-22,44220.25
2017-02-23,66450.57142857143
2017-02-24,78929.0
2017-02-25,38762.0
2017-02-26,60109.5
2017-02-27,53537.5
2017-02-28,73252.0
2017-03-01,70615.0
2017-03-02,67552.33333333333
2017-03-03,61820.5
2017-03-05,88315.28571428571
2017-03-06,59786.25
2017-03-07,57559.5
2017-03-08,57555.0
2017-03-09,66459.5
2017-03-10,64052.0
2017-03-11,43137.0
2017-03-12,92937.5
2017-03-13,66244.5
2017-03-14,62585.5
2017-03-15,75650.66666666667
2017-03-16,53457.0
2017-03-17,55159.0
2017-03-19,77032.66666666667
2017-03-20,95285.0
2017-03-21,60687.5
2017-03-22,62736.666666666664
2017-03-23,58723.5
2017-03-24,62731.0
2017-03-25,90000.0
2017-03-26,68953.2
2017-03-27,57845.0
2017-03-28,57478.0
2017-03-29,88512.66666666667
2017-03-30,38046.5
2017-03-31,69923.0
2017-04-05,76167.0
2017-04-07,61850.5
2017-04-08,46486.0
2017-04-09,51463.5
2017-04-10,68116.0
2017-04-11,36024.0
2017-04-13,73321.0
2017-04-14,50881.333333333336
2017-04-17,74714.0
2017-04-18,45684.0
2017-04-25,72185.0
2017-04-26,72902.0
2017-04-30,51661.0
2017-05-03,66456.0
2017-05-08,50858.0
2017-05-11,95659.0
2017-05-13,61964.0
2017-05-15,45884.0
2017-05-24,48534.0
2017-05-27,54585.0
2017-05-31,63645.0
2017-06-01,83388.0
2017-06-04,104831.0
2017-06-06,73197.0
2017-06-07,89640.0
2017-06-08,54848.0
2017-06-10,41966.0
2017-06-11,60786.5
2017-06-18,45755.0
2017-06-21,82651.0
2017-06-23,85804.5
2017-06-25,79201.0
2017-06-27,76947.0
2017-07-03,103014.0
2017-07-05,52813.5
2017-07-07,34636.0
2017-07-09,74850.0
2017-07-10,98537.0
2017-07-12,59404.0
2017-07-19,64666.5
2017-07-21,55589.0
2017-07-22,55466.5
2017-07-23,44807.5
2017-07-24,73261.0
2017-07-25,80073.0
2017-07-27,79885.0
2017-07-29,52980.0
2017-07-30,75541.0
2017-07-31,72670.0
2017-08-02,50311.0
2017-08-05,86598.33333333333
2017-08-08,66466.0
2017-08-10,52786.0
2017-08-11,54992.0
2017-08-12,82293.0
2017-08-13,74910.0
2017-08-16,67016.0
2017-08-19,73530.0
2017-08-20,79381.33333333333
2017-08-21,57114.0
2017-08-24,61505.0
2017-08-26,72192.0
2017-08-27,53642.0
2017-09-04,63144.666666666664
2017-09-05,60998.0
2017-09-06,63903.0
2017-09-08,67927.0
2017-09-09,56768.666666666664
2017-09-10,69254.33333333333
2017-09-11,54770.0
2017-09-12,65356.5
2017-09-13,59399.0
2017-09-14,60757.0
2017-09-15,57381.0
2017-09-18,59318.0
2017-09-19,51528.0
2017-09-20,52914.0
2017-09-22,64668.0
2017-09-24,84542.0
2017-09-28,58255.0
2017-09-29,47385.0
2017-09-30,59596.0
2017-10-04,41904.0
2017-10-07,53115.0
2017-10-08,47229.0
2017-10-09,57105.0
2017-10-13,85471.0
2017-10-14,29203.0
2017-10-17,47793.0
2017-10-19,72899.0
2017-10-23,123753.0
2017-10-24,53209.0
2017-10-25,51942.0
2017-10-29,71771.0
2017-10-30,58252.0
2017-10-31,48896.0
2017-11-02,122641.0
2017-11-06,53904.0
2017-11-09,83058.0
2017-11-11,42582.0
2017-11-12,77611.66666666667
2017-11-13,66784.0
2017-11-14,81109.5
2017-11-15,71705.0
2017-11-16,64625.0
2017-11-19,80564.0
2017-11-21,79628.5
2017-11-22,68815.66666666667
2017-11-23,30850.0
2017-11-25,66465.0
2017-11-27,52655.0
2017-11-28,98806.0
2017-11-29,48492.0
2017-12-01,89701.0
2017-12-02,50739.0
2017-12-03,40287.0
2017-12-04,48480.5
2017-12-06,52818.666666666664
2017-12-07,53064.5
2017-12-08,56127.25
2017-12-10,43154.333333333336
2017-12-12,123170.0
2017-12-13,67956.5
2017-12-14,55945.0
2017-12-17,54363.0
2017-12-18,43500.0
2017-12-19,47784.0
2017-12-20,79232.5
2017-12-22,32483.0
2017-12-23,74832.0
2017-12-25,48441.0
2017-12-26,68003.0
2017-12-27,37282.0
2017-12-28,73781.0
2017-12-30,63769.0
2017-12-31,57570.0
2018-01-02,124690.0
2018-01-03,56955.5
