year,DOM,followers
2011,1.0,0.0
2012,1.0,0.2
2013,1.0,1.75
2014,1.0,2.8
2015,1.0,10.24742268041237
2016,41.941717791411044,20.63803680981595
2017,60.90439276485788,40.90956072351421
2018,125.33333333333333,125.33333333333333
